[2026-06-25 16:43:59] close: 61771.01, RSI: 57.01, SMOOTHING: 53.66
[2026-06-25 16:44:59] close: 61753.01, RSI: 53.34, SMOOTHING: 53.37
[2026-06-25 16:45:59] close: 61752.01, RSI: 53.14, SMOOTHING: 53.83
[2026-06-25 16:46:59] close: 61767.55, RSI: 55.96, SMOOTHING: 54.15
[2026-06-25 16:47:59] close: 61758.55, RSI: 53.93, SMOOTHING: 54.19
[2026-06-25 16:48:59] close: 61759.17, RSI: 54.06, SMOOTHING: 54.29
[2026-06-25 16:49:59] close: 61750.0, RSI: 51.84, SMOOTHING: 54.46
[2026-06-25 16:50:59] close: 61773.69, RSI: 56.77, SMOOTHING: 54.66
[2026-06-25 16:51:59] close: 61774.0, RSI: 56.84, SMOOTHING: 54.64
[2026-06-25 16:52:59] close: 61745.99, RSI: 49.85, SMOOTHING: 54.15
[2026-06-25 16:53:59] close: 61750.0, RSI: 50.78, SMOOTHING: 54.09
[2026-06-25 16:54:59] close: 61743.5, RSI: 49.18, SMOOTHING: 53.86
[2026-06-25 16:55:59] close: 61706.01, RSI: 41.14, SMOOTHING: 52.85
[2026-06-25 16:56:59] close: 61727.99, RSI: 46.65, SMOOTHING: 52.18
[2026-06-25 16:57:59] close: 61727.99, RSI: 46.65, SMOOTHING: 51.44
[2026-06-25 16:58:59] close: 61731.61, RSI: 47.58, SMOOTHING: 51.03
[2026-06-25 16:59:59] close: 61739.29, RSI: 49.61, SMOOTHING: 50.77
[2026-06-25 17:00:59] close: 61743.42, RSI: 50.71, SMOOTHING: 50.40
[2026-06-25 17:01:59] close: 61740.01, RSI: 49.74, SMOOTHING: 50.10
[2026-06-25 17:02:59] close: 61747.97, RSI: 52.04, SMOOTHING: 49.95
[2026-06-25 17:03:59] close: 61736.86, RSI: 48.69, SMOOTHING: 49.73
[2026-06-25 17:04:59] close: 61731.97, RSI: 47.25, SMOOTHING: 49.05
[2026-06-25 17:05:59] close: 61731.96, RSI: 47.25, SMOOTHING: 48.37
[2026-06-25 17:06:59]  Close: 61686.00    |  RSI: 36.08   |  Smoothing: 46.28   |  ADX: 14.05 
[2026-06-25 17:06:59] close: 61686.0, RSI: 35.73, SMOOTHING: 47.36
[2026-06-25 17:07:59]  Close: 61696.23    |  RSI: 39.79   |  Smoothing: 45.61   |  ADX: 15.68 
[2026-06-25 17:07:59] close: 61696.23, RSI: 39.28, SMOOTHING: 46.54
[2026-06-25 17:08:59] close: 61676.53, RSI: 35.24, SMOOTHING: 45.54
[2026-06-25 17:08:59]  Close: 61676.53    |  RSI: 35.51   |  Smoothing: 45.21   |  ADX: 17.50 
[2026-06-25 17:09:59]  Close: 61676.00    |  RSI: 35.40   |  Smoothing: 44.40   |  ADX: 19.52 
[2026-06-25 17:09:59] close: 61676.0, RSI: 35.14, SMOOTHING: 45.11
[2026-06-25 17:10:59] close: 61658.0, RSI: 31.70, SMOOTHING: 44.04
[2026-06-25 17:11:59] close: 61666.9, RSI: 35.08, SMOOTHING: 43.22
[2026-06-25 17:12:59] close: 61665.23, RSI: 34.74, SMOOTHING: 42.30
[2026-06-25 17:13:59] close: 61683.12, RSI: 41.43, SMOOTHING: 41.72
[2026-06-25 17:14:59] close: 61688.01, RSI: 43.15, SMOOTHING: 41.18
[2026-06-25 17:15:59] close: 61703.25, RSI: 48.25, SMOOTHING: 41.07
[2026-06-25 17:16:59] close: 61748.0, RSI: 59.67, SMOOTHING: 41.62
[2026-06-25 17:17:59] close: 61719.75, RSI: 51.88, SMOOTHING: 41.84
[2026-06-25 17:18:59] close: 61722.13, RSI: 52.45, SMOOTHING: 42.21
[2026-06-25 17:19:59] close: 61660.01, RSI: 39.47, SMOOTHING: 41.66
[2026-06-25 17:20:59] close: 61601.99, RSI: 31.60, SMOOTHING: 41.36
[2026-06-25 17:21:59] close: 61606.0, RSI: 32.60, SMOOTHING: 40.89
[2026-06-25 17:22:59] close: 61614.13, RSI: 34.68, SMOOTHING: 40.85
[2026-06-25 17:23:59] close: 61611.99, RSI: 34.38, SMOOTHING: 40.79
[2026-06-25 17:24:59] close: 61582.34, RSI: 30.43, SMOOTHING: 40.70
[2026-06-25 17:25:59] close: 61586.66, RSI: 31.67, SMOOTHING: 40.46
[2026-06-25 17:26:59] close: 61603.22, RSI: 36.32, SMOOTHING: 40.57
[2026-06-25 17:27:59] close: 61595.73, RSI: 35.15, SMOOTHING: 40.12
[2026-06-25 17:28:59] close: 61572.25, RSI: 31.72, SMOOTHING: 39.30
[2026-06-25 17:29:59] close: 61574.89, RSI: 32.51, SMOOTHING: 38.18
[2026-06-25 17:30:59] close: 61579.54, RSI: 33.98, SMOOTHING: 36.35
[2026-06-25 17:31:59] close: 61574.51, RSI: 33.14, SMOOTHING: 35.01
[2026-06-25 17:32:59] close: 61574.51, RSI: 33.14, SMOOTHING: 33.63
[2026-06-25 17:33:59] close: 61555.0, RSI: 29.83, SMOOTHING: 32.94
[2026-06-25 17:34:59] close: 61551.89, RSI: 29.33, SMOOTHING: 32.78
[2026-06-25 17:35:59] close: 61552.1, RSI: 29.41, SMOOTHING: 32.55
[2026-06-25 17:36:59] close: 61562.81, RSI: 33.86, SMOOTHING: 32.49
[2026-06-25 17:37:59] close: 61541.9, RSI: 29.90, SMOOTHING: 32.17
[2026-06-25 17:38:59] close: 61542.0, RSI: 29.94, SMOOTHING: 32.14
[2026-06-25 17:39:59] close: 61525.58, RSI: 27.06, SMOOTHING: 31.81
[2026-06-25 17:40:59] close: 61515.36, RSI: 25.42, SMOOTHING: 31.03
[2026-06-25 17:41:59] close: 61486.27, RSI: 21.44, SMOOTHING: 30.05
[2026-06-25 17:42:59] close: 61469.31, RSI: 19.52, SMOOTHING: 29.18
[2026-06-25 17:43:59] close: 61460.07, RSI: 18.55, SMOOTHING: 28.18
[2026-06-25 17:44:59] close: 61393.82, RSI: 13.39, SMOOTHING: 26.71
[2026-06-25 17:45:59] close: 61349.99, RSI: 11.17, SMOOTHING: 25.14
[2026-06-25 17:46:59] close: 61317.57, RSI: 9.87, SMOOTHING: 23.48
[2026-06-25 17:47:59] close: 61328.9, RSI: 13.66, SMOOTHING: 22.32
[2026-06-25 17:48:59] close: 61377.75, RSI: 27.74, SMOOTHING: 22.21
[2026-06-25 17:49:59] close: 61336.14, RSI: 24.13, SMOOTHING: 21.83
[2026-06-25 17:50:59] close: 61354.0, RSI: 28.43, SMOOTHING: 21.44
[2026-06-25 17:51:59] close: 61368.48, RSI: 31.81, SMOOTHING: 21.58
[2026-06-25 17:52:59] close: 61360.09, RSI: 30.90, SMOOTHING: 21.65
[2026-06-25 17:53:59] close: 61346.0, RSI: 29.38, SMOOTHING: 21.82
[2026-06-25 17:54:59] close: 61338.65, RSI: 28.59, SMOOTHING: 22.04
[2026-06-25 17:55:59] close: 61299.99, RSI: 24.81, SMOOTHING: 22.28
[2026-06-25 17:56:59] close: 61330.03, RSI: 32.30, SMOOTHING: 23.20
[2026-06-25 17:57:59] close: 61327.49, RSI: 32.01, SMOOTHING: 24.16
[2026-06-25 17:58:59] close: 61288.01, RSI: 27.82, SMOOTHING: 25.19
[2026-06-25 17:59:59] close: 61269.94, RSI: 26.14, SMOOTHING: 26.26
[2026-06-25 18:00:59] close: 61284.0, RSI: 29.71, SMOOTHING: 27.67
[2026-06-25 18:01:59] close: 61333.99, RSI: 40.68, SMOOTHING: 29.60
[2026-06-25 18:02:59] close: 61242.26, RSI: 31.09, SMOOTHING: 29.84
[2026-06-25 18:03:59] close: 61166.66, RSI: 25.71, SMOOTHING: 29.96
[2026-06-25 18:04:59] close: 61212.0, RSI: 33.18, SMOOTHING: 30.30
[2026-06-25 18:05:59] close: 61166.67, RSI: 29.94, SMOOTHING: 30.16
[2026-06-25 18:06:59] close: 61088.01, RSI: 25.32, SMOOTHING: 29.76
[2026-06-25 18:07:59] close: 61104.13, RSI: 27.78, SMOOTHING: 29.65
[2026-06-25 18:08:59] close: 61102.01, RSI: 27.65, SMOOTHING: 29.58
[2026-06-25 18:09:59] close: 61070.95, RSI: 25.76, SMOOTHING: 29.65
[2026-06-25 18:10:59] close: 61111.99, RSI: 32.33, SMOOTHING: 29.65
[2026-06-25 18:11:59] close: 61137.6, RSI: 36.13, SMOOTHING: 29.95
[2026-06-25 18:12:59] close: 61187.99, RSI: 42.92, SMOOTHING: 31.02
[2026-06-25 18:13:59] close: 61197.25, RSI: 44.10, SMOOTHING: 32.31
[2026-06-25 18:14:59] close: 61358.01, RSI: 59.65, SMOOTHING: 34.45
[2026-06-25 18:15:59] close: 61394.01, RSI: 62.19, SMOOTHING: 35.98
[2026-06-25 18:16:59] close: 61356.05, RSI: 58.04, SMOOTHING: 37.91
[2026-06-25 18:17:59] close: 61379.99, RSI: 59.86, SMOOTHING: 40.35
[2026-06-25 18:18:59] close: 61354.27, RSI: 57.00, SMOOTHING: 42.05
[2026-06-25 18:19:59] close: 61341.98, RSI: 55.64, SMOOTHING: 43.88
[2026-06-25 18:20:59] close: 61343.15, RSI: 55.75, SMOOTHING: 46.06
[2026-06-25 18:21:59] close: 61310.01, RSI: 51.87, SMOOTHING: 47.78
[2026-06-25 18:22:59] close: 61277.23, RSI: 48.29, SMOOTHING: 49.25
[2026-06-25 18:23:59] close: 61272.01, RSI: 47.73, SMOOTHING: 50.82
[2026-06-25 18:24:59] close: 61280.09, RSI: 48.73, SMOOTHING: 51.99
[2026-06-25 18:25:59] close: 61316.0, RSI: 53.02, SMOOTHING: 53.20
